Set,Pack EV ($),Box EV ($),Pack Price ($),Box Price ($),Case Price ($),EV - Box Price ($),Box EV / Box Price,Assumption: packs/box,Assumption: unique_rate,Assumption: foil_rate
Dust Reward Promos,977.1490666666665,35177.36639999999,,,,,,36,0.2,0.25
Alpha,29.277296109914637,1053.982659956927,38.84,996.31,5797.6,57.672659956926964,1.0578862602572763,36,0.2,0.25
Gothic,8.442617869536125,303.9342433033005,6.86,155.11,838.48,148.82424330330048,1.9594754903184866,36,0.2,0.25
Beta,7.401883327734916,266.467799798457,6.28,131.3,851.3,135.167799798457,2.0294577288534423,36,0.2,0.25
Arthurian Legends,6.6607723985726714,239.7878063486162,7.09,119.63,682.71,120.15780634861619,2.004411989873913,36,0.2,0.25
Dragonlord,5.186461538461539,186.7126153846154,,,,,,36,0.2,0.25
