Set,Pack EV ($),Box EV ($),Pack Price ($),Box Price ($),Case Price ($),EV - Box Price ($),Box EV / Box Price,Assumption: packs/box,Assumption: unique_rate,Assumption: foil_rate
Dust Reward Promos,973.1007333333333,35031.6264,,,,,,36,0.2,0.25
Alpha,27.92032092030209,1005.1315531308752,40.55,1038.35,5772.25,-33.218446869124705,0.9680084298462708,36,0.2,0.25
Gothic,9.176589138157533,330.3572089736712,7.78,173.23,894.38,157.12720897367123,1.907043866383832,36,0.2,0.25
Beta,7.202412007172252,259.28683225820106,6.97,154.93,858.48,104.35683225820105,1.673574080282715,36,0.2,0.25
Arthurian Legends,6.530434241726583,235.095632702157,7.41,119.3,759.98,115.795632702157,1.9706255884506034,36,0.2,0.25
Dragonlord,5.094788461538462,183.41238461538464,,,,,,36,0.2,0.25
