Set,Pack EV ($),Box EV ($),Pack Price ($),Box Price ($),Case Price ($),EV - Box Price ($),Box EV / Box Price,Assumption: packs/box,Assumption: unique_rate,Assumption: foil_rate
Dust Reward Promos,1526.8966733333332,54968.28023999999,,,,,,36,0.2,0.25
Alpha,33.88110168089691,1219.7196605122888,63.62,1895.39,11450.0,-675.6703394877113,0.6435190966040175,36,0.2,0.25
Gothic,11.108410973432647,399.90279504357534,9.53,194.11,1022.14,205.79279504357532,2.0601864666610443,36,0.2,0.25
Dragonlord,8.496303846153845,305.86693846153844,,,,,,36,0.2,0.25
Beta,7.5335381513041195,271.2073734469483,10.71,185.1,912.56,86.10737344694829,1.4651938057641722,36,0.2,0.25
Arthurian Legends,6.396573361157623,230.27664100167442,8.95,120.92,759.63,109.35664100167442,1.9043718243605228,36,0.2,0.25
