Set,Pack EV ($),Box EV ($),Pack Price ($),Box Price ($),Case Price ($),EV - Box Price ($),Box EV / Box Price,Assumption: packs/box,Assumption: unique_rate,Assumption: foil_rate
Dust Reward Promos,1331.3167041666668,47927.40135000001,,,,,,36,0.2,0.25
Alpha,27.61800257722181,994.2480927799851,42.91,1376.17,6109.75,-381.921907220015,0.7224747616791422,36,0.2,0.25
Gothic,9.722670461004283,350.0161365961542,8.65,192.33,965.2,157.68613659615417,1.8198728050546154,36,0.2,0.25
Beta,7.169374630804935,258.09748670897767,7.74,159.64,919.38,98.45748670897768,1.6167469726195045,36,0.2,0.25
Arthurian Legends,6.700578276433074,241.22081795159067,7.57,135.58,778.6,105.64081795159066,1.7791770021506907,36,0.2,0.25
Dragonlord,6.5974076923076925,237.50667692307692,,,,,,36,0.2,0.25
