Set,Pack EV ($),Box EV ($),Pack Price ($),Box Price ($),Case Price ($),EV - Box Price ($),Box EV / Box Price,Assumption: packs/box,Assumption: unique_rate,Assumption: foil_rate
Dust Reward Promos,973.1077,35031.8772,,,,,,36,0.2,0.25
Alpha,28.142077818893902,1013.1148014801805,40.79,1038.35,5772.25,-25.23519851981939,0.9756968281217129,36,0.2,0.25
Gothic,9.199668423061924,331.18806323022926,7.9,169.92,905.19,161.26806323022927,1.9490822930215943,36,0.2,0.25
Beta,7.19330539237305,258.9589941254298,6.94,155.21,858.48,103.74899412542979,1.6684427171279543,36,0.2,0.25
Arthurian Legends,6.528166814673003,235.0140053282281,7.39,124.14,766.06,110.87400532822811,1.8931368239747712,36,0.2,0.25
Dragonlord,5.089346153846154,183.21646153846154,,,,,,36,0.2,0.25
