Set,Pack EV ($),Box EV ($),Pack Price ($),Box Price ($),Case Price ($),EV - Box Price ($),Box EV / Box Price,Assumption: packs/box,Assumption: unique_rate,Assumption: foil_rate
Dust Reward Promos,973.0827666666667,35030.9796,,,,,,36,0.2,0.25
Alpha,27.85093563613179,1002.6336829007445,40.39,1038.35,5772.25,-35.716317099255434,0.9656028149475077,36,0.2,0.25
Gothic,9.198262387773012,331.1374459598284,7.66,176.12,894.38,155.01744595982842,1.8801808196674337,36,0.2,0.25
Beta,7.194632174980947,259.00675829931413,6.97,155.19,858.48,103.81675829931413,1.6689655151705274,36,0.2,0.25
Arthurian Legends,6.547781383252898,235.72012979710433,7.42,126.64,759.98,109.08012979710433,1.8613402542411903,36,0.2,0.25
Dragonlord,5.061884615384615,182.22784615384614,,,,,,36,0.2,0.25
