Set,Pack EV ($),Box EV ($),Pack Price ($),Box Price ($),Case Price ($),EV - Box Price ($),Box EV / Box Price,Assumption: packs/box,Assumption: unique_rate,Assumption: foil_rate
Dust Reward Promos,1323.6064458333333,47649.83205,,,,,,36,0.2,0.25
Alpha,28.14913520205571,1013.3688672740055,41.87,1209.4,6109.75,-196.03113272599455,0.8379104244038411,36,0.2,0.25
Gothic,9.728065995745812,350.2103758468492,8.25,183.38,956.23,166.83037584684922,1.9097522949441008,36,0.2,0.25
Beta,7.188585934658199,258.78909364769515,7.07,161.7,889.19,97.08909364769517,1.6004272952856844,36,0.2,0.25
Arthurian Legends,6.649080133681129,239.36688481252065,7.29,137.33,776.99,102.03688481252064,1.7430050594372726,36,0.2,0.25
Dragonlord,6.107288461538461,219.8623846153846,,,,,,36,0.2,0.25
