Set,Pack EV ($),Box EV ($),Pack Price ($),Box Price ($),Case Price ($),EV - Box Price ($),Box EV / Box Price,Assumption: packs/box,Assumption: unique_rate,Assumption: foil_rate
Dust Reward Promos,969.62355,34906.4478,,,,,,36,0.2,0.25
Alpha,27.73808731208369,998.5711432350128,39.76,1027.51,5772.25,-28.938856764987236,0.9718359366186341,36,0.2,0.25
Gothic,8.435348908913237,303.67256072087656,7.26,160.33,881.66,143.34256072087655,1.894047032500945,36,0.2,0.25
Beta,7.283137627414236,262.1929545869125,6.41,153.26,849.45,108.9329545869125,1.710772247076292,36,0.2,0.25
Arthurian Legends,6.5462673207631585,235.6656235474737,7.13,130.91,754.55,104.7556235474737,1.8002110117445091,36,0.2,0.25
Dragonlord,5.089884615384616,183.23584615384618,,,,,,36,0.2,0.25
