Set,Pack EV ($),Box EV ($),Pack Price ($),Box Price ($),Case Price ($),EV - Box Price ($),Box EV / Box Price,Assumption: packs/box,Assumption: unique_rate,Assumption: foil_rate
Dust Reward Promos,973.73355,35054.4078,,,,,,36,0.2,0.25
Alpha,27.750834132564613,999.0300287723261,39.92,1027.51,5772.25,-28.4799712276739,0.9722825362014249,36,0.2,0.25
Gothic,8.427305464978854,303.38299673923876,7.4,159.85,881.66,143.53299673923877,1.8979230324631766,36,0.2,0.25
Beta,7.265266492137821,261.54959371696157,6.47,153.57,853.96,107.97959371696157,1.7031294765706946,36,0.2,0.25
Arthurian Legends,6.551467018348436,235.8528126605437,7.13,130.91,754.55,104.9428126605437,1.8016409186505515,36,0.2,0.25
Dragonlord,5.068226923076924,182.45616923076926,,,,,,36,0.2,0.25
