Set,Pack EV ($),Box EV ($),Pack Price ($),Box Price ($),Case Price ($),EV - Box Price ($),Box EV / Box Price,Assumption: packs/box,Assumption: unique_rate,Assumption: foil_rate
Dust Reward Promos,1753.8599316666666,63138.957539999996,,,,,,36,0.2,0.25
Alpha,32.464204595281736,1168.7113654301425,57.28,1895.39,9629.67,-726.6786345698576,0.6166073290616403,36,0.2,0.25
Gothic,10.712211387230852,385.63960994031066,10.01,213.18,995.0,172.45960994031066,1.8089858801965975,36,0.2,0.25
Dragonlord,8.094217307692308,291.39182307692306,,,,,,36,0.2,0.25
Beta,7.448684090986271,268.1526272755058,8.98,159.96,907.84,108.19262727550577,1.6763730137253423,36,0.2,0.25
Arthurian Legends,6.418274204894284,231.0578713761942,8.14,118.19,767.51,112.86787137619422,1.9549697214332364,36,0.2,0.25
