Set,Pack EV ($),Box EV ($),Pack Price ($),Box Price ($),Case Price ($),EV - Box Price ($),Box EV / Box Price,Assumption: packs/box,Assumption: unique_rate,Assumption: foil_rate
Dust Reward Promos,1189.8903275,42836.05179,,,,,,36,0.2,0.25
Alpha,33.27467060810682,1197.8881418918454,64.24,1911.67,11450.0,-713.7818581081547,0.626618685176754,36,0.2,0.25
Gothic,11.242201050648426,404.7192378233433,9.34,195.82,1031.79,208.8992378233433,2.0667921449460898,36,0.2,0.25
Dragonlord,8.96353076923077,322.68710769230773,,,,,,36,0.2,0.25
Beta,7.578950559683847,272.8422201486185,10.71,181.46,918.13,91.38222014861847,1.503594291571798,36,0.2,0.25
Arthurian Legends,6.426009567369251,231.33634442529302,9.04,119.13,756.61,112.20634442529303,1.941881511166734,36,0.2,0.25
