Set,Pack EV ($),Box EV ($),Pack Price ($),Box Price ($),Case Price ($),EV - Box Price ($),Box EV / Box Price,Assumption: packs/box,Assumption: unique_rate,Assumption: foil_rate
Dust Reward Promos,1756.5972649999999,63237.50154,,,,,,36,0.2,0.25
Alpha,32.38810125247895,1165.971645089242,57.28,1895.39,9629.67,-729.4183549107581,0.6151618638323733,36,0.2,0.25
Gothic,10.720577727986573,385.94079820751665,10.06,210.81,995.0,175.13079820751665,1.830751853363297,36,0.2,0.25
Dragonlord,7.9534480769230775,286.3241307692308,,,,,,36,0.2,0.25
Beta,7.460236384392715,268.56850983813774,8.98,160.56,907.84,108.00850983813774,1.6726987408952276,36,0.2,0.25
Arthurian Legends,6.415450980196447,230.9562352870721,8.14,118.78,767.51,112.1762352870721,1.944403395243914,36,0.2,0.25
