Set,Pack EV ($),Box EV ($),Pack Price ($),Box Price ($),Case Price ($),EV - Box Price ($),Box EV / Box Price,Assumption: packs/box,Assumption: unique_rate,Assumption: foil_rate
Dust Reward Promos,1529.5561400000001,55064.02104000001,,,,,,36,0.2,0.25
Alpha,33.07693471048747,1190.769649577549,60.05,1895.39,11450.0,-704.6203504224511,0.6282451894214641,36,0.2,0.25
Gothic,10.739363994831432,386.6171038139316,9.92,215.77,1009.8,170.84710381393157,1.7918019363856494,36,0.2,0.25
Dragonlord,8.24911048951049,296.96797762237765,,,,,,36,0.2,0.25
Beta,7.432222199935169,267.5599991976661,9.04,163.37,910.76,104.18999919766611,1.6377547848299328,36,0.2,0.25
Arthurian Legends,6.347756909185298,228.51924873067074,8.4,121.78,762.75,106.73924873067074,1.8764924349701981,36,0.2,0.25
