Set,Pack EV ($),Box EV ($),Pack Price ($),Box Price ($),Case Price ($),EV - Box Price ($),Box EV / Box Price,Assumption: packs/box,Assumption: unique_rate,Assumption: foil_rate
Dust Reward Promos,1679.5933225,60465.35961000001,,,,,,36,0.2,0.25
Alpha,31.818367761225954,1145.4612394041344,52.69,1864.35,8721.0,-718.8887605958655,0.6144024670282588,36,0.2,0.25
Gothic,10.697760293783547,385.1193705762077,9.35,203.47,1009.0,181.6493705762077,1.892757510081131,36,0.2,0.25
Dragonlord,7.7105448717948715,277.57961538461535,,,,,,36,0.2,0.25
Beta,7.387327419526939,265.9437871029698,8.42,163.18,909.08,102.76378710296979,1.6297572441657666,36,0.2,0.25
Arthurian Legends,6.653865967307086,239.53917482305508,7.63,121.72,772.84,117.81917482305508,1.9679524714348922,36,0.2,0.25
