Set,Pack EV ($),Box EV ($),Pack Price ($),Box Price ($),Case Price ($),EV - Box Price ($),Box EV / Box Price,Assumption: packs/box,Assumption: unique_rate,Assumption: foil_rate
Dust Reward Promos,1043.4288875,37563.43995,,,,,,36,0.2,0.25
Alpha,28.198521490566904,1015.1467736604086,41.74,1050.22,5772.25,-35.07322633959143,0.9666039245685748,36,0.2,0.25
Gothic,9.40008739101225,338.403146076441,7.8,175.41,933.66,162.99314607644098,1.9292123942559773,36,0.2,0.25
Beta,7.104929514097625,255.7774625075145,6.8,168.76,877.51,87.01746250751452,1.5156284813197116,36,0.2,0.25
Arthurian Legends,6.427792720941894,231.40053795390818,7.25,132.83,777.77,98.57053795390817,1.7420803881194622,36,0.2,0.25
Dragonlord,4.756865384615384,171.24715384615382,,,,,,36,0.2,0.25
