Set,Pack EV ($),Box EV ($),Pack Price ($),Box Price ($),Case Price ($),EV - Box Price ($),Box EV / Box Price,Assumption: packs/box,Assumption: unique_rate,Assumption: foil_rate
Dust Reward Promos,1529.228395,55052.22222,,,,,,36,0.2,0.25
Alpha,33.07747688456176,1190.7891678442234,59.32,1895.39,11450.0,-704.6008321557767,0.6282554871790097,36,0.2,0.25
Gothic,10.70336214089744,385.32103707230783,9.92,216.73,1009.8,168.59103707230784,1.7778850969976832,36,0.2,0.25
Dragonlord,8.260956643356645,297.3944391608392,,,,,,36,0.2,0.25
Beta,7.425845913677447,267.3304528923881,9.04,163.08,907.85,104.2504528923881,1.6392595835932553,36,0.2,0.25
Arthurian Legends,6.348120374027381,228.53233346498573,8.4,121.72,765.15,106.81233346498573,1.8775249216643586,36,0.2,0.25
