Set,Pack EV ($),Box EV ($),Pack Price ($),Box Price ($),Case Price ($),EV - Box Price ($),Box EV / Box Price,Assumption: packs/box,Assumption: unique_rate,Assumption: foil_rate
Dust Reward Promos,973.7347333333333,35054.4504,,,,,,36,0.2,0.25
Alpha,28.266476474902813,1017.5931530965013,40.23,1038.35,5772.25,-20.756846903498626,0.9800097781061312,36,0.2,0.25
Gothic,9.29162275785947,334.4984192829409,7.66,177.63,885.46,156.86841928294092,1.8831189510946402,36,0.2,0.25
Beta,7.198752201748198,259.15507926293515,6.85,154.77,858.48,104.38507926293514,1.6744529253920988,36,0.2,0.25
Arthurian Legends,6.575147672260251,236.70531620136904,7.29,131.8,754.55,104.90531620136903,1.7959432185232855,36,0.2,0.25
Dragonlord,5.093526923076923,183.36696923076923,,,,,,36,0.2,0.25
