Set,Pack EV ($),Box EV ($),Pack Price ($),Box Price ($),Case Price ($),EV - Box Price ($),Box EV / Box Price,Assumption: packs/box,Assumption: unique_rate,Assumption: foil_rate
Dust Reward Promos,1042.5415625,37531.496250000004,,,,,,36,0.2,0.25
Alpha,27.949228849096055,1006.172238567458,41.9,1071.5,,-65.32776143254205,0.9390314872304787,36,0.2,0.25
Gothic,9.508213768861545,342.2956956790156,7.69,175.01,933.66,167.2856956790156,1.955863640243504,36,0.2,0.25
Beta,7.168232427697894,258.0563673971242,6.77,169.75,881.4,88.30636739712418,1.520214240925621,36,0.2,0.25
Arthurian Legends,6.487708282370313,233.55749816533128,7.02,132.12,775.53,101.43749816533128,1.767767924351584,36,0.2,0.25
Dragonlord,5.4852935897435895,197.47056923076923,,,,,,36,0.2,0.25
