Set,Pack EV ($),Box EV ($),Pack Price ($),Box Price ($),Case Price ($),EV - Box Price ($),Box EV / Box Price,Assumption: packs/box,Assumption: unique_rate,Assumption: foil_rate
Dust Reward Promos,1531.1881466666669,55122.77328000001,,,,,,36,0.2,0.25
Alpha,32.81020239043676,1181.1672860557233,57.64,1895.39,9629.67,-714.2227139442768,0.6231790217610746,36,0.2,0.25
Gothic,10.7184367444263,385.8637227993468,9.92,215.09,1009.8,170.7737227993468,1.7939640280782314,36,0.2,0.25
Dragonlord,8.12385576923077,292.45880769230774,,,,,,36,0.2,0.25
Beta,7.43817876740775,267.774435626679,9.04,159.37,907.85,108.404435626679,1.6802060339253246,36,0.2,0.25
Arthurian Legends,6.389928795983945,230.03743665542203,8.4,118.86,765.15,111.17743665542203,1.9353646025191151,36,0.2,0.25
