Set,Pack EV ($),Box EV ($),Pack Price ($),Box Price ($),Case Price ($),EV - Box Price ($),Box EV / Box Price,Assumption: packs/box,Assumption: unique_rate,Assumption: foil_rate
Dust Reward Promos,313.4654166666666,11284.754999999997,,,,,,36,0.2,0.25
Alpha,28.80060749566845,1036.8218698440642,38.84,996.31,5797.6,40.51186984406422,1.0406619123004528,36,0.2,0.25
Gothic,8.434775705193923,303.65192538698125,6.81,148.54,831.21,155.11192538698126,2.0442434723776843,36,0.2,0.25
Beta,7.444029365783569,267.98505716820847,6.17,130.21,856.09,137.77505716820846,2.05809889538598,36,0.2,0.25
Arthurian Legends,6.694476875861815,241.00116753102535,6.97,119.92,682.71,121.08116753102534,2.009682851326095,36,0.2,0.25
Dragonlord,5.130542307692307,184.69952307692307,,,,,,36,0.2,0.25
