Set,Pack EV ($),Box EV ($),Pack Price ($),Box Price ($),Case Price ($),EV - Box Price ($),Box EV / Box Price,Assumption: packs/box,Assumption: unique_rate,Assumption: foil_rate
Dust Reward Promos,1460.7258908333336,52586.13207000001,,,,,,36,0.2,0.25
Alpha,31.599181867707284,1137.5705472374623,51.81,1901.55,8721.0,-763.9794527625377,0.5982333082156464,36,0.2,0.25
Gothic,10.639225526470812,383.0121189529492,9.57,199.63,995.0,183.3821189529492,1.9186100233078656,36,0.2,0.25
Dragonlord,7.480447435897436,269.2961076923077,,,,,,36,0.2,0.25
Beta,7.362248488479853,265.0409455852747,8.61,162.44,910.75,102.6009455852747,1.6316236492568006,36,0.2,0.25
Arthurian Legends,6.794401220188263,244.59844392677746,7.52,122.89,775.4,121.70844392677746,1.9903852545103544,36,0.2,0.25
