Set,Pack EV ($),Box EV ($),Pack Price ($),Box Price ($),Case Price ($),EV - Box Price ($),Box EV / Box Price,Assumption: packs/box,Assumption: unique_rate,Assumption: foil_rate
Dust Reward Promos,1460.5474708333336,52579.70895000001,,,,,,36,0.2,0.25
Alpha,31.596940714087488,1137.4898657071496,51.81,1901.55,8721.0,-764.0601342928503,0.598190878865741,36,0.2,0.25
Gothic,10.62798500067276,382.6074600242194,9.57,198.39,995.0,184.2174600242194,1.928562226040725,36,0.2,0.25
Dragonlord,7.454447435897436,268.36010769230774,,,,,,36,0.2,0.25
Beta,7.37365126494087,265.45144553787134,8.61,163.01,910.75,102.44144553787135,1.6284365716083145,36,0.2,0.25
Arthurian Legends,6.816025926552907,245.37693335590467,7.52,123.01,775.4,122.36693335590466,1.994772240922727,36,0.2,0.25
