Set,Pack EV ($),Box EV ($),Pack Price ($),Box Price ($),Case Price ($),EV - Box Price ($),Box EV / Box Price,Assumption: packs/box,Assumption: unique_rate,Assumption: foil_rate
Dust Reward Promos,1256.5098958333333,45234.35625,,,,,,36,0.2,0.25
Alpha,28.402413983508552,1022.4869034063079,42.21,1143.68,6109.75,-121.19309659369219,0.894032337197737,36,0.2,0.25
Gothic,9.528014328000118,343.0085158080043,7.85,177.49,949.23,165.51851580800428,1.9325512187053033,36,0.2,0.25
Beta,7.192859635068137,258.9429468624529,6.86,166.37,886.81,92.57294686245291,1.5564281232340742,36,0.2,0.25
Arthurian Legends,6.532604145857078,235.1737492508548,7.23,130.13,774.57,105.0437492508548,1.8072216187724184,36,0.2,0.25
Dragonlord,5.629761538461539,202.6714153846154,,,,,,36,0.2,0.25
