Set,Pack EV ($),Box EV ($),Pack Price ($),Box Price ($),Case Price ($),EV - Box Price ($),Box EV / Box Price,Assumption: packs/box,Assumption: unique_rate,Assumption: foil_rate
Dust Reward Promos,1548.7040016666672,55753.34406000002,,,,,,36,0.2,0.25
Alpha,33.48131406513345,1205.3273063448044,62.79,1895.39,11450.0,-690.0626936551957,0.6359257494999996,36,0.2,0.25
Gothic,10.860175447517403,390.9663161106265,9.64,210.35,1009.8,180.6163161106265,1.858646618068108,36,0.2,0.25
Dragonlord,8.217796153846155,295.8406615384616,,,,,,36,0.2,0.25
Beta,7.434289740612214,267.6344306620397,9.47,166.02,910.76,101.61443066203967,1.6120613821349215,36,0.2,0.25
Arthurian Legends,6.3159528269559075,227.37430177041267,8.59,121.93,759.63,105.44430177041266,1.8647937486296453,36,0.2,0.25
