Set,Pack EV ($),Box EV ($),Pack Price ($),Box Price ($),Case Price ($),EV - Box Price ($),Box EV / Box Price,Assumption: packs/box,Assumption: unique_rate,Assumption: foil_rate
Dust Reward Promos,1436.5501125000003,51715.80405000001,,,,,,36,0.2,0.25
Alpha,28.8886806145354,1039.9925021232743,44.35,1440.01,6109.75,-400.01749787672566,0.7222120000022738,36,0.2,0.25
Gothic,9.874374471864483,355.4774809871214,8.65,194.24,975.4,161.2374809871214,1.8300941154608803,36,0.2,0.25
Beta,7.213539141000197,259.6874090760071,7.74,159.42,919.38,100.26740907600711,1.6289512550245084,36,0.2,0.25
Arthurian Legends,6.7554836888941585,243.1974128001897,7.53,135.12,778.57,108.0774128001897,1.799862439314607,36,0.2,0.25
Dragonlord,6.6852269230769235,240.66816923076925,,,,,,36,0.2,0.25
