Set,Pack EV ($),Box EV ($),Pack Price ($),Box Price ($),Case Price ($),EV - Box Price ($),Box EV / Box Price,Assumption: packs/box,Assumption: unique_rate,Assumption: foil_rate
Dust Reward Promos,973.6838333333333,35052.617999999995,,,,,,36,0.2,0.25
Alpha,28.221151661707673,1015.9614598214762,40.23,1038.35,5772.25,-22.388540178523726,0.9784383491322544,36,0.2,0.25
Gothic,9.282435336607477,334.1676721178692,7.66,178.33,885.46,155.83767211786918,1.8738724393981336,36,0.2,0.25
Beta,7.219204545867825,259.8913636512417,6.85,154.07,853.96,105.82136365124171,1.686839512242758,36,0.2,0.25
Arthurian Legends,6.58019895139778,236.8871622503201,7.29,132.56,754.55,104.3271622503201,1.7870184237350641,36,0.2,0.25
Dragonlord,5.097511538461539,183.5104153846154,,,,,,36,0.2,0.25
