Set,Pack EV ($),Box EV ($),Pack Price ($),Box Price ($),Case Price ($),EV - Box Price ($),Box EV / Box Price,Assumption: packs/box,Assumption: unique_rate,Assumption: foil_rate
Dust Reward Promos,971.7125500000001,34981.6518,,,,,,36,0.2,0.25
Alpha,27.95919348512508,1006.5309654645029,39.04,1019.31,5797.6,-12.77903453549709,0.9874630538938134,36,0.2,0.25
Gothic,8.426795670699088,303.3646441451672,6.86,155.59,838.48,147.77464414516717,1.9497695491044873,36,0.2,0.25
Beta,7.367222764717192,265.2200195298189,6.28,139.06,850.39,126.1600195298189,1.907234427799647,36,0.2,0.25
Arthurian Legends,6.630846277249747,238.71046598099088,7.09,118.26,682.71,120.45046598099087,2.018522458827929,36,0.2,0.25
Dragonlord,5.175515384615385,186.31855384615386,,,,,,36,0.2,0.25
