Set,Pack EV ($),Box EV ($),Pack Price ($),Box Price ($),Case Price ($),EV - Box Price ($),Box EV / Box Price,Assumption: packs/box,Assumption: unique_rate,Assumption: foil_rate
Dust Reward Promos,1030.5753833333333,37100.7138,,,,,,36,0.2,0.25
Alpha,28.18234092898718,1014.5642734435385,41.11,1050.22,5772.25,-35.65572655646156,0.9660492786687918,36,0.2,0.25
Gothic,9.159094858475736,329.7274149051265,7.9,170.66,913.4,159.06741490512653,1.9320720432739162,36,0.2,0.25
Beta,7.11692328677968,256.20923832406845,6.88,155.82,862.72,100.38923832406846,1.644264140187835,36,0.2,0.25
Arthurian Legends,6.481581735098821,233.33694246355756,7.39,131.67,771.62,101.66694246355758,1.7721344456866226,36,0.2,0.25
Dragonlord,4.808994405594405,173.1237986013986,,,,,,36,0.2,0.25
