Set,Pack EV ($),Box EV ($),Pack Price ($),Box Price ($),Case Price ($),EV - Box Price ($),Box EV / Box Price,Assumption: packs/box,Assumption: unique_rate,Assumption: foil_rate
Dust Reward Promos,1031.26015,37125.3654,,,,,,36,0.2,0.25
Alpha,28.097053271159673,1011.4939177617482,41.11,1038.35,5772.25,-26.8560822382517,0.9741358094686264,36,0.2,0.25
Gothic,9.189982251955225,330.8393610703881,7.9,170.37,905.19,160.46936107038812,1.941887427777121,36,0.2,0.25
Beta,7.156274037676583,257.625865356357,6.9,156.04,858.48,101.585865356357,1.651024515229153,36,0.2,0.25
Arthurian Legends,6.501619488231839,234.0583015763462,7.39,128.86,768.46,105.19830157634618,1.8163767001113313,36,0.2,0.25
Dragonlord,5.064115384615384,182.30815384615383,,,,,,36,0.2,0.25
