Set,Pack EV ($),Box EV ($),Pack Price ($),Box Price ($),Case Price ($),EV - Box Price ($),Box EV / Box Price,Assumption: packs/box,Assumption: unique_rate,Assumption: foil_rate
Dust Reward Promos,1046.7457666666667,37682.8476,,,,,,36,0.2,0.25
Alpha,27.310578162593046,983.1808138533497,41.58,1050.22,5772.25,-67.03918614665031,0.9361665306824758,36,0.2,0.25
Gothic,9.349624241861672,336.5864727070202,7.93,171.32,920.85,165.26647270702023,1.964665378864232,36,0.2,0.25
Beta,7.125326152556298,256.5117414920267,6.75,159.71,870.71,96.80174149202671,1.6061094577172794,36,0.2,0.25
Arthurian Legends,6.4640806176540595,232.70690223554615,7.21,133.07,776.33,99.63690223554616,1.7487555589956125,36,0.2,0.25
Dragonlord,5.201269230769231,187.2456923076923,,,,,,36,0.2,0.25
